Name,URL,Code,Location,Total,Methods
Đại học Kinh tế TP HCM,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-kinh-te-tp-hcm-272,KSA,TP HCM,None,None
Đại học Ngoại thương (phía Bắc),https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-ngoai-thuong-phia-bac-338,NTH,Hà Nội,Tổng chỉ tiêu: 4.100,"{ Xét học bạ với thí sinh tham gia kỳ thi học sinh giỏi/ khoa học kỹ thuật quốc gia; đạt giải ba trở lên kỳ thi học sinh giỏi cấp thành phố; là học sinh trường chuyên | Xét tuyển kết hợp chứng chỉ ngoại ngữ quốc tế với học bạ; điểm SAT/ ACT/ A-Level hoặc điểm thi tốt nghiệp THPT | Xét tuyển kết quả thi tốt nghiệp THPT | Sử dụng kết quả kỳ thi Đánh giá năng lực của Đại học Quốc gia Hà Nội/ Đại học Quốc gia TP HCM | Xét tuyển thẳng theo quy định của Bộ Giáo dục và Đào tạo }"
Đại học Ngoại thương (phía Nam),https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-ngoai-thuong-phia-nam-279,NTS,TP HCM,Tổng chỉ tiêu: 4.100,"{ Xét học bạ với thí sinh tham gia kỳ thi học sinh giỏi/ khoa học kỹ thuật quốc gia; đạt giải ba trở lên kỳ thi học sinh giỏi cấp thành phố; là học sinh trường chuyên | Xét tuyển kết hợp chứng chỉ ngoại ngữ quốc tế với học bạ; điểm SAT/ ACT/ A-Level hoặc điểm thi tốt nghiệp THPT | Xét tuyển kết quả thi tốt nghiệp THPT | Sử dụng kết quả kỳ thi Đánh giá năng lực của Đại học Quốc gia Hà Nội/ Đại học Quốc gia TP HCM | Xét tuyển thẳng theo quy định của Bộ Giáo dục và Đào tạo }"
Đại học Sư phạm Hà Nội 2,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-su-pham-ha-noi-2-462,SP2,Vĩnh Phúc,None,None
Đại Học Sư Phạm Nghệ Thuật Trung Ương,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-su-pham-nghe-thuat-trung-uong-379,GNT,Hà Nội,None,None
Đại Học Sư Phạm Thể Dục Thể Thao Hà Nội,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-su-pham-the-duc-the-thao-ha-noi-434,TDH,Hà Nội,None,None
Đại học Vinh,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-vinh-246,TDV,Nghệ An,None,None
Đại học Đà Lạt,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-da-lat-207,TDL,Lâm Đồng,None,None
Đại học Đồng Tháp,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-dong-thap-248,SPD,Đồng Tháp,None,None
Đại học Kiên Giang,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-kien-giang-496,TKG,Kiên Giang,None,None
Đại học Nha Trang,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-nha-trang-330,TSN,Khánh Hòa,Tổng chỉ tiêu: 3.600,"{ Tuyển thẳng theo quy định của Bộ Giáo dục và Đào tạo | Căn cứ kết quả thi đánh giá năng lực của Đại học Quốc gia TP HCM,Đại học Quốc gia Hà Nội | Xét học bạ ba năm THPT | Dựa vào điểm thi tốt nghiệp THPT 2023 }"
Đại học Quy Nhơn,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-quy-nhon-465,DQN,Bình Định,None,None
Đại học Sư phạm Kỹ thuật Hưng Yên,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-su-pham-ky-thuat-hung-yen-205,SKH,Hưng Yên,None,None
Đại học Tây Bắc,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-tay-bac-250,TTB,Sơn La,None,None
Đại học Tây Nguyên,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-tay-nguyen-453,TTN,Đắk Lắk,None,None
Đại học Việt Đức,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-viet-duc-295,VGU,Bình Dương,None,None
Học viện Y Dược học cổ truyền Việt Nam,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/hoc-vien-y-duoc-hoc-co-truyen-viet-nam-390,HYD,Hà Nội,None,None
Đại học Y Dược Hải Phòng,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-y-duoc-hai-phong-321,YPB,Hải Phòng,None,None
Đại học Điều Dưỡng Nam Định,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-dieu-duong-nam-dinh-324,YDD,Nam Định,None,None
Đại học Kỹ thuật Y Dược Đà Nẵng,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-ky-thuat-y-duoc-da-nang-315,YDN,Đà Nẵng,None,None
Học Viện Âm Nhạc Quốc Gia Việt Nam,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/hoc-vien-am-nhac-quoc-gia-viet-nam-407,NVH,Hà Nội,None,None
Đại học Văn hóa Hà Nội,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-van-hoa-ha-noi-428,VHH,Hà Nội,None,None
Đại học Mỹ Thuật Việt Nam,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-my-thuat-viet-nam-403,MTH,Hà Nội,None,None
Đại Học Sân Khấu Điện Ảnh,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-san-khau-dien-anh-422,SKD,Hà Nội,None,None
Đại học Mỹ Thuật TP HCM,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-my-thuat-tp-hcm-276,MTS,TP HCM,None,None
Đại học Thể dục Thể thao TP HCM,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-the-duc-the-thao-tp-hcm-305,TDS,TP HCM,None,None
Đại học Tài nguyên và Môi trường TP HCM,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-tai-nguyen-va-moi-truong-tp-hcm-262,DTM,TP HCM,None,None
Học Viện Âm Nhạc Huế,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/hoc-vien-am-nhac-hue-219,HVA,Huế,None,None
Đại Học Thể Dục Thể Thao Bắc Ninh,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-the-duc-the-thao-bac-ninh-460,TDB,Bắc Ninh,None,None
Đại học Điện lực,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-dien-luc-358,DDL,Hà Nội,Tổng chỉ tiêu: 3.650,"{ Xét học bạ năm học kỳ THPT (trừ kỳ II lớp 12). | Xét kết quả thi tốt nghiệp THPT 2023. | Xét kết quả thi đánh giá năng lực của Đại học Quốc gia Hà Nội. | Xét tuyển thẳng theo quy chế của Bộ Giáo dục và Đào tạo. }"
Đại học Công nghệ TP HCM,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-cong-nghe-tp-hcm-256,DKC,TP HCM,Tổng chỉ tiêu: 9.900,"{ Xét tuyển kết quả thi tốt nghiệp THPT 2023 | Sử dụng kết quả kỳ thi đánh giá năng lực của Đại học Quốc gia TP HCM | Xét học bạ (lớp 12 hoặc lớp 11 và kỳ I lớp 12) }"
Đại học Công Nghiệp Quảng Ninh,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-cong-nghiep-quang-ninh-337,DDM,Quảng Ninh,None,None
Đại Học Công Nghiệp Việt Trì,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-cong-nghiep-viet-tri-437,VUI,Phú Thọ,None,None
Đại học Xây dựng Miền Trung,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-xay-dung-mien-trung-201,XDT,Phú Yên,None,None
Đại Học Lao động – Xã hội ( Cơ sở Sơn Tây ),https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-lao-dong-xa-hoi-co-so-son-tay-364,DLT,Hà Nội,None,None
Đại Học Sư Phạm Kỹ Thuật Nam Định,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-su-pham-ky-thuat-nam-dinh-323,SKN,Nam Định,None,None
Học viện Nông nghiệp Việt Nam,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/hoc-vien-nong-nghiep-viet-nam-488,HVN,Hà Nội,Tổng chỉ tiêu: 3.000,"{ Nhập từng phương thức | Hết một cái bấm enter xuống dòng | Hệ thống sẽ tự động hiển thị số 1,2,3 khi lên trang ạ }"
Đại học Lâm nghiệp (Cơ sở 1),https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-lam-nghiep-co-so-1-398,LNH,Hà Nội,None,None
Đại Học Thủy Lợi ( Cơ sở 2 ),https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-thuy-loi-co-so-2-292,TLS,TP HCM,Tổng chỉ tiêu: 5.500,"{ Xét học bạ | Căn cứ kết quả thi tốt nghiệp THPT 2023 | Xét tuyển thí sinh thi đánh giá tư duy năm 2023 của Đại học Bách khoa Hà Nội | Xét tuyển thẳng theo quy chế của Bộ Giáo dục và Đào tạo | Ưu tiên xét tuyển kết hợp học bạ với thí sinh: đạt giải học sinh giỏi cấp tỉnh trở lên,là học sinh trường chuyên,học lực giỏi ba năm THPT,đạt chứng chỉ tiếng Anh quốc tế }"
Đại học Nông Lâm Bắc Giang,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-nong-lam-bac-giang-316,DBG,Bắc Giang,None,None
Đại học Tài chính Marketing,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-tai-chinh-marketing-258,DMS,TP HCM,None,None
Đại học Tài Chính Kế Toán,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-tai-chinh-ke-toan-345,DKQ,Quảng Ngãi,None,None
Học viện Thanh Thiếu Niên Việt Nam,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/hoc-vien-thanh-thieu-nien-viet-nam-388,HTN,Hà Nội,None,None
Học viện Ngoại giao,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/hoc-vien-ngoai-giao-386,HQT,Hà Nội,None,None
Học Viện Hành Chính Quốc Gia (phía Nam),https://diemthi.vnexpress.net/tra-cuu-dai-hoc/hoc-vien-hanh-chinh-quoc-gia-phia-nam-268,HCS,TP HCM,None,None
Học viện Công nghệ Bưu chính Viễn thông (phía Nam),https://diemthi.vnexpress.net/tra-cuu-dai-hoc/hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-nam-252,BVS,TP HCM,Tổng chỉ tiêu: 4.280,"{ Xét tuyển bằng điểm thi tốt nghiệp THPT 2023 | Sử dụng kết quả thi đánh giá năng lực,tư duy | Xét tuyển theo đề án riêng với thí sinh có các chứng chỉ SAT,ACT,IELTS và tương đương; đạt giải học sinh cấp tỉnh trở lên }"
Đại học Luật Hà Nội,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-luat-ha-noi-399,LPH,Hà Nội,None,None
Học viện Ngân hàng,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/hoc-vien-ngan-hang-405,NHH,Hà Nội,Tổng chỉ tiêu: 3.300,"{ Xét tuyển thẳng. | Xét tuyển dựa vào kết quả học tập bậc THPT. | Xét tuyển dựa vào chứng chỉ quốc tế. | Xét tuyển dựa vào kết quả kỳ thi đánh giá năng lực. | Xét tuyển dựa vào kết quả thi tốt nghiệp THPT. }"
Đại học Công Nghiệp Dệt May Hà Nội,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-cong-nghiep-det-may-ha-noi-352,CCM,Hà Nội,None,None
Học viện Tòa án,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/hoc-vien-toa-an-486,HTA,Hà Nội,None,None
Đại học Công đoàn,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-cong-doan-397,LDA,Hà Nội,None,None
Học viện Phụ nữ Việt Nam,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/hoc-vien-phu-nu-viet-nam-485,HPN,Hà Nội,None,None
Học viện Cảnh sát nhân dân,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/hoc-vien-canh-sat-nhan-dan-353,CSH,Hà Nội,None,None
Đại học Khoa Học Và Công Nghệ Hà Nội,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-khoa-hoc-va-cong-nghe-ha-noi-391,KCN,None,None
Đại học Kiểm sát Hà Nội,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-kiem-sat-ha-noi-363,DKS,Hà Nội,None,None
Đại học Thủ Đô Hà Nội,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-thu-do-ha-noi-385,HNM,Hà Nội,None,None
Học viện Cán bộ TP HCM,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/hoc-vien-can-bo-tp-hcm-487,HVC,TP HCM,None,None
Đại học Bạc Liêu,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-bac-lieu-449,DBL,Bạc Liêu,None,None
Đại học Thủ Dầu Một,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-thu-dau-mot-447,TDM,Bình Dương,None,None
Đại học Hà Tĩnh,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-ha-tinh-240,HHT,Hà Tĩnh,None,None
Đại học Khánh Hòa,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-khanh-hoa-497,UKH,Khánh Hòa,None,None
Đại học Kinh Tế Nghệ An,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-kinh-te-nghe-an-242,CEA,Nghệ An,None,None
Đại học Y Khoa Vinh,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-y-khoa-vinh-247,YKV,Nghệ An,None,None
Đại học Hoa Lư,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-hoa-lu-241,DNB,Ninh Bình,None,None
Đại học Hùng Vương,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-hung-vuong-436,THV,Phú Thọ,None,None
Đại Học Quảng Bình,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-quang-binh-339,DQB,Quảng Bình,None,None
Đại học Quảng Nam,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-quang-nam-237,DQU,Quảng Nam,None,None
Đại học Thái Bình,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-thai-binh-238,DTB,Thái Bình,None,None
Đại học Hồng Đức,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-hong-duc-341,HDT,Thanh Hóa,None,None
"Đại học Văn Hóa,Thể Thao Và Du Lịch Thanh Hóa",https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-van-hoa-the-thao-va-du-lich-thanh-hoa-340,DVD,Thanh Hóa,None,None
Đại học Tiền Giang,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-tien-giang-347,TTG,Tiền Giang,None,None
Đại học Trà Vinh,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-tra-vinh-317,DVT,Trà Vinh,None,None
Đại học Tân Trào,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-tan-trao-464,TQU,Tuyên Quang,None,None
Đại Học Đông Đô,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-dong-do-360,DDU,Hà Nội,None,None
