Name,Code,Location
Đại học Nghệ Thuật - Đại học Huế,DHN,Huế
Đại học Ngoại Ngữ - Đại học Huế,DHF,Huế
Đại học Nông Lâm - Đại học Huế,DHL,Huế
Đại học Sư Phạm - Đại học Huế,DHS,Huế
Đại học Y Dược - Đại học Huế,DHY,Huế
Đại học Kiến trúc Đà Nẵng,KTD,Đà Nẵng
Đại học Bách Khoa - Đại học Đà Nẵng,DDK,Đà Nẵng
Đại học Kinh Tế - Đại học Đà Nẵng,DDQ,Đà Nẵng
Đại học Sư Phạm - Đại học Đà Nẵng,DDS,Đà Nẵng
Đại học Ngoại Ngữ - Đại học Đà Nẵng,DDF,Đà Nẵng
Đại học Sư phạm Kỹ thuật - Đại học Đà Nẵng,DSK,Đà Nẵng
Đại học Công nghệ Thông tin và Truyền thông Việt - Hàn,VKU,Đà Nẵng
Đại học Kinh tế TP HCM,KSA,TP HCM
Đại học Ngoại thương (phía Bắc),NTH,Hà Nội
Đại học Ngoại thương (phía Nam),NTS,TP HCM
Đại học Sư phạm Hà Nội 2,SP2,Vĩnh Phúc
Đại Học Sư Phạm Nghệ Thuật Trung Ương,GNT,Hà Nội
Đại Học Sư Phạm Thể Dục Thể Thao Hà Nội,TDH,Hà Nội
Đại học Vinh,TDV,Nghệ An
Đại học Đà Lạt,TDL,Lâm Đồng
Đại học Đồng Tháp,SPD,Đồng Tháp
Đại học Kiên Giang,TKG,Kiên Giang
Đại học Nha Trang,TSN,Khánh Hòa
Đại học Quy Nhơn,DQN,Bình Định
Đại học Sư phạm Kỹ thuật Hưng Yên,SKH,Hưng Yên
Đại học Tây Bắc,TTB,Sơn La
Đại học Tây Nguyên,TTN,Đắk Lắk
Đại học Việt Đức,VGU,Bình Dương
Học viện Y Dược học cổ truyền Việt Nam,HYD,Hà Nội
Đại học Y Dược Hải Phòng,YPB,Hải Phòng
Đại học Điều Dưỡng Nam Định,YDD,Nam Định
Đại học Kỹ thuật Y Dược Đà Nẵng,YDN,Đà Nẵng
Học Viện Âm Nhạc Quốc Gia Việt Nam,NVH,Hà Nội
Đại học Văn hóa Hà Nội,VHH,Hà Nội
Đại học Mỹ Thuật Việt Nam,MTH,Hà Nội
Đại Học Sân Khấu Điện Ảnh,SKD,Hà Nội
Đại học Mỹ Thuật TP HCM,MTS,TP HCM
Đại học Thể dục Thể thao TP HCM,TDS,TP HCM
Đại học Tài nguyên và Môi trường TP HCM,DTM,TP HCM
Học Viện Âm Nhạc Huế,HVA,Huế
Đại Học Thể Dục Thể Thao Bắc Ninh,TDB,Bắc Ninh
Đại học Điện lực,DDL,Hà Nội
Đại học Công nghệ TP HCM,DKC,TP HCM
Đại học Công Nghiệp Quảng Ninh,DDM,Quảng Ninh
Đại Học Công Nghiệp Việt Trì,VUI,Phú Thọ
Đại học Xây dựng Miền Trung,XDT,Phú Yên
Đại Học Lao động – Xã hội ( Cơ sở Sơn Tây ),DLT,Hà Nội
Đại Học Sư Phạm Kỹ Thuật Nam Định,SKN,Nam Định
Học viện Nông nghiệp Việt Nam,HVN,Hà Nội
Đại học Lâm nghiệp (Cơ sở 1),LNH,Hà Nội
Đại Học Thủy Lợi ( Cơ sở 2 ),TLS,TP HCM
Đại học Nông Lâm Bắc Giang,DBG,Bắc Giang
Đại học Tài chính Marketing,DMS,TP HCM
Đại học Tài Chính Kế Toán,DKQ,Quảng Ngãi
Học viện Thanh Thiếu Niên Việt Nam,HTN,Hà Nội
Học viện Ngoại giao,HQT,Hà Nội
Học Viện Hành Chính Quốc Gia (phía Nam),HCS,TP HCM
Học viện Công nghệ Bưu chính Viễn thông (phía Nam),BVS,TP HCM
Đại học Luật Hà Nội,LPH,Hà Nội
Học viện Ngân hàng,NHH,Hà Nội
Đại học Công Nghiệp Dệt May Hà Nội,CCM,Hà Nội
Học viện Tòa án,HTA,Hà Nội
Đại học Công đoàn,LDA,Hà Nội
Học viện Phụ nữ Việt Nam,HPN,Hà Nội
Học viện Cảnh sát nhân dân,CSH,Hà Nội
Đại học Khoa Học Và Công Nghệ Hà Nội,KCN,
Đại học Kiểm sát Hà Nội,DKS,Hà Nội
Đại học Thủ Đô Hà Nội,HNM,Hà Nội
Học viện Cán bộ TP HCM,HVC,TP HCM
Đại học Bạc Liêu,DBL,Bạc Liêu
Đại học Thủ Dầu Một,TDM,Bình Dương
Đại học Hà Tĩnh,HHT,Hà Tĩnh
Đại học Khánh Hòa,UKH,Khánh Hòa
Đại học Kinh Tế Nghệ An,CEA,Nghệ An
Đại học Y Khoa Vinh,YKV,Nghệ An
Đại học Hoa Lư,DNB,Ninh Bình
Đại học Hùng Vương,THV,Phú Thọ
Đại Học Quảng Bình,DQB,Quảng Bình
Đại học Quảng Nam,DQU,Quảng Nam
Đại học Thái Bình,DTB,Thái Bình
Đại học Hồng Đức,HDT,Thanh Hóa
"Đại học Văn Hóa,Thể Thao Và Du Lịch Thanh Hóa",DVD,Thanh Hóa
Đại học Tiền Giang,TTG,Tiền Giang
Đại học Trà Vinh,DVT,Trà Vinh
Đại học Tân Trào,TQU,Tuyên Quang
Đại Học Đông Đô,DDU,Hà Nội
Đại Học FPT,FPT,Hà Nội
Đại học Kinh doanh và Công nghệ Hà Nội,DQK,Hà Nội
Đại học Nguyễn Trãi,NTU,Hà Nội
Đại học Phenikaa,DTA,Hà Nội
Đại học Tài Chính Ngân Hàng Hà Nội,FBU,Hà Nội
Đại học Thăng Long,DTL,Hà Nội
Đại học Võ Trường Toản,VTT,Hậu Giang
Đại học Hoa Sen,HSU,TP HCM
Đại học Hùng Vương TP HCM,DHV,TP HCM
Đại học Ngoại ngữ - Tin học TP HCM,DNT,TP HCM
Đại học Nguyễn Tất Thành,NTT,TP HCM
Đại học Quốc tế Hồng Bàng,HIU,TP HCM
Đại học Văn Hiến,DVH,TP HCM
Đại học Văn Lang,DVL,TP HCM
Đại học Bà Rịa Vũng Tàu,BVU,Bà Rịa- Vũng Tàu
Đại học Công Nghệ Đông Á,DDA,Hà Nội
Đại học Kinh Bắc,UKB,Bắc Ninh
Đại Học Quốc Tế Bắc Hà,DBH,Hà Nội
Đại học Kinh tế Kỹ thuật Bình Dương,DKB,Bình Dương
Đại học Quang Trung,DQT,Bình Định
Đại học Phan Thiết,DPT,Bình Thuận
Đại học Nam Cần Thơ,DNC,Cần Thơ
Đại học Công nghệ Miền Đông,DMD,Hà Nội
Đại học Lạc Hồng,DLH,Đồng Nai
Đại Học Hà Hoa Tiên,DHH,Hà Nam
Đại Học Thành Đông,DDB,Hải Dương
Đại học Yersin Đà Lạt,DYD,Lâm Đồng
Đại học Tân Tạo,TTU,Long An
Đại Học Lương Thế Vinh,DTV,Nam Định
Đại học Công nghiệp Vinh,DCV,Nghệ An
Đại học Phan Châu Trinh,DPC,Quảng Nam
Đại học Dân Lập Phú Xuân,DPX,Huế
Đại học Cửu Long,DCL,Vĩnh Long
Học viện Biên Phòng,BPH,Hà Nội
Học viện Hậu Cần - Hệ Quân sự,HEH,Hà Nội
Học viện Khoa Học Quân Sự - Hệ Quân sự,NQH,Hà Nội
Học viện Kỹ thuật mật mã,KMA,Hà Nội
Trường Sĩ Quan Phòng Hóa,HGH,Hà Nội
Trường Sĩ Quan Đặc Công,DCH,Hà Nội
Trường Sĩ Quan Lục Quân 2 - Đại học Nguyễn Huệ,LBH,Đồng Nai
Trường Sĩ Quan Không Quân - Hệ Đại học,KGH,Khánh Hòa
Trường Sĩ Quan Công Binh - Hệ Quân sự - Đại học Ngô Quyền,SNH,Bình Dương
Học viện An Ninh Nhân Dân,ANH,Hà Nội
Học viện Chính Trị Công An Nhân Dân,HCA,Hà Nội
Học viện quốc tế,AIS,
Đại học Kỹ Thuật - Hậu Cần Công An Nhân Dân ( Phía Bắc ),HCB,Bắc Ninh
Đại học An Ninh Nhân Dân,ANS,Hà Nội
Đại học Dầu khí Việt Nam,PVU,Bà Rịa- Vũng Tàu
Viện Nghiên cứu và Đào tạo Việt - Anh - Đại học Đà Nẵng,DDV,Đà Nẵng
Cao Đẳng Kinh Tế – Kỹ Thuật – Đại Học Thái Nguyên,DTU,Thái Nguyên
Cao Đẳng Công Nghiệp Quốc Phòng,QPH,Phú Thọ
Cao Đẳng Công Nghệ Và Kỹ Thuật Ô Tô,COT,Hà Nội
Cao Đẳng An Ninh Nhân Dân 1,AD1,Hà Nội
Cao Đẳng Xây Dựng Số 2,CXS,TP HCM
Cao Đẳng Kỹ Thuật Cao Thắng,CKC,TP HCM
Cao Đẳng Sư Phạm Bà Rịa – Vũng Tàu,C52,Bà Rịa- Vũng Tàu
Cao Đẳng Sư Phạm Bắc Ninh,C19,Bắc Ninh
Cao Đẳng Sư Phạm Cao Bằng,C06,Cao Bằng
Cao Đẳng Sư Phạm Điện Biên,C62,Điện Biên
Cao Đẳng Sư Phạm Gia Lai,C38,Gia Lai
Cao Đẳng Sư Phạm Hòa Bình,C23,Hòa Bình
Cao Đẳng Sư Phạm Kiên Giang,C54,Kiên Giang
Cao Đẳng Sư Phạm Lạng Sơn,C10,Lạng Sơn
Cao Đẳng Sư Phạm Long An,C49,Long An
Cao Đẳng Sư Phạm Nam Định,C25,Nam Định
Cao Đẳng Sư Phạm Nghệ An,C29,Nghệ An
Cao Đẳng Sư Phạm Quảng Trị,C32,Quảng Trị
Cao Đẳng Sư Phạm Tây Ninh,C46,Tây Ninh
Cao Đẳng Sư Phạm Thái Bình,C26,Thái Bình
Cao Đẳng Sư Phạm Thừa Thiên Huế,C33,Huế
Cao Đẳng Sư Phạm Trung Ương,CM1,Hà Nội
Cao Đẳng Sư Phạm TW Nha Trang,CM2,Khánh Hòa
Cao Đẳng Sư Phạm Trung Ương TP HCM,CM3,TP HCM
Cao Đẳng Sư Phạm Thái Nguyên,C12,Thái Nguyên
Cao Đẳng Sư Phạm Yên Bái,C13,Yên Bái
Cao Đẳng Cộng Đồng Bắc Kạn,C11,Bắc Kạn
Cao Đẳng Bến Tre,C56,Bến Tre
Cao Đẳng Bình Định,C37,Bình Định
Cao Đẳng Sư Phạm Bình Phước,C43,Bình Phước
Cao Đẳng Cần Thơ,C55,Cần Thơ
Cao Đẳng Cộng Đồng Cà Mau,D61,Cà Mau
Cao Đẳng Cộng Đồng Hà Nội,CHN,Hà Nội
Cao Đẳng Cộng Đồng Hậu Giang,D64,Hậu Giang
Cao Đẳng Cộng Đồng Đồng Tháp,D50,Đồng Tháp
Cao Đẳng Cộng Đồng Lai Châu,CLC,Lai Châu
Cao Đẳng Cộng Đồng Sóc Trăng,CST,Sóc Trăng
Cao Đẳng Sư Phạm Đà Lạt,C42,Lâm Đồng
Cao Đẳng Sư Phạm Ngô Gia Tự Bắc Giang,C18,Bắc Giang
Cao Đẳng Sơn La,C14,Sơn La
Cao Đẳng Cộng Đồng Vĩnh Long,D57,Vĩnh Long
Cao Đẳng Sư Phạm Vĩnh Phúc,C16,Vĩnh Phúc
Cao Đẳng Đại Việt Sài Gòn,CSG,Hà Nội
Cao Đẳng Kinh Tế Kỹ Thuật Điện Biên,CDB,Điện Biên
Cao Đẳng Y Tế Sơn La,YSL,Sơn La
Cao Đẳng Y Tế Phú Thọ,CYP,Phú Thọ
Cao Đẳng Y Tế Quảng Ninh,CYQ,Quảng Ninh
Cao Đẳng Y Tế Thái Nguyên,CYI,Thái Nguyên
Cao Đẳng Y Tế Ninh Bình,CNY,Ninh Bình
Cao Đẳng Y Tế Bạch Mai,CBM,Hà Nội
Cao Đẳng Y Tế Huế,CYY,Huế
Cao Đẳng Y Tế Hà Đông,CYM,Hà Nội
Cao Đẳng Y Tế Hà Nam,CYH,Hà Nam
Cao Đẳng Y Tế Hà Nội,CYZ,Hà Nội
Cao Đẳng Y Tế Bình Dương,CBY,Bình Dương
Cao Đẳng Y Tế Hải Phòng,CYF,Hải Phòng
Cao Đẳng Y Tế Hưng Yên,CHY,Hưng Yên
Cao Đẳng Y Tế Lâm Đồng,CLY,Lâm Đồng
Cao Đẳng Y Tế Thái Bình,CYE,Thái Bình
Cao Đẳng Y Tế Hà Tĩnh,CYN,Hà Tĩnh
Cao Đẳng Y Tế Thanh Hóa,CYT,Thanh Hóa
Cao Đẳng Y Tế Bình Định,CYR,Bình Định
Cao Đẳng Y Tế Khánh Hòa,CYK,Khánh Hòa
Cao Đẳng Y Tế Quảng Nam,CYU,Quảng Nam
Cao Đẳng Y Tế Đồng Nai,CYD,Đồng Nai
Cao Đẳng Y Tế Bạc Liêu,CYB,Bạc Liêu
Cao Đẳng Y Tế Cà Mau,CMY,Cà Mau
Cao Đẳng Y Tế Cần Thơ,CYC,Cần Thơ
Cao Đẳng Y Tế Đồng Tháp,CYA,Đồng Tháp
Cao Đẳng Y Tế Tiền Giang,CYV,Tiền Giang
Cao Đẳng Y Tế Trà Vinh,YTV,Trà Vinh
Cao Đẳng Cơ Khí Luyện Kim,CKL,Thái Nguyên
Cao Đẳng Công Nghệ và Kinh Tế Công Nghiệp,CXD,Thái Nguyên
Cao Đẳng Công Nghiệp Thái Nguyên,CCB,Thái Nguyên
Cao Đẳng Công Nghiệp Thực Phẩm,CTP,Phú Thọ
Cao Đẳng Công Nghiệp và Xây Dựng,CCX,Quảng Ninh
Cao Đẳng Công Nghiệp Việt Đức,CCV,Thái Nguyên
Cao Đẳng Kinh Tế – Tài Chính Thái Nguyên,CKT,Thái Nguyên
Cao Đẳng Kinh Tế Kỹ Thuật Phú Thọ,CPP,Phú Thọ
Cao Đẳng Kỹ Thuật Công Nghiệp,CCE,Bắc Giang
Cao Đẳng Nông Lâm Đông Bắc,CDP,Quảng Ninh
Cao Đẳng Thương Mại và Du Lịch,CTM,Thái Nguyên
Cao Đẳng Văn Hóa Nghệ Thuật và Du Lịch Hạ Long,CVD,Quảng Ninh
Cao Đẳng Văn Hóa Nghệ Thuật Việt Bắc,CNV,Thái Nguyên
Cao Đẳng Cộng Đồng Hà Tây,D20,Hà Nội
Cao Đẳng Cộng Đồng Hải Phòng,D03,Hải Phòng
Cao Đẳng Công Nghệ Và Kinh Tế Hà Nội,CHK,Hà Nội
Cao Đẳng Công Nghệ Viettronics,CVT,Hải Phòng
Cao Đẳng Công Nghiệp Hưng Yên,CCY,Hưng Yên
Cao Đẳng Công Nghiệp Nam Định,CND,Nam Định
Cao Đẳng Công Nghệ và Thương Mại Hà Nội,CBT,Hà Nội
Cao Đẳng Điện Tử - Điện Lạnh Hà Nội,CLH,Hà Nội
Cao Đẳng Du Lịch Hà Nội,CDH,Hà Nội
Cao Đẳng Dược Trung Ương,CYS,Hải Dương
Cao Đẳng Hàng Hải I,CHH,Hải Phòng
Cao Đẳng Kinh Tế – Kỹ Thuật Thương Mại,CTH,Hà Nội
Cao Đẳng Kinh Tế - Kỹ Thuật Trung Ương,CTW,Hà Nội
Cao Đẳng Kinh Tế Kỹ Thuật Vĩnh Phúc,CKA,Vĩnh Phúc
Cao Đẳng Kinh Tế Công Nghiệp Hà Nội,CCK,Hà Nội
Cao Đẳng Thủy Sản,CSB,Bắc Ninh
Cao Đẳng Múa Việt Nam,CMH,Hà Nội
Cao Đẳng Nghệ Thuật Hà Nội,CNT,Hà Nội
Cao Đẳng Nông Nghiệp và Phát Triển Nông Thôn Bắc Bộ,CNP,Hà Nội
Cao Đẳng Phát Thanh Truyền Hình I,CPT,Hà Nam
Cao Đẳng Thống Kê,CTE,Bắc Ninh
Cao đẳng Công Nghệ Thông Tin TP HCM,CDC,Hà Nội
Cao Đẳng Thương Mại Và Du Lịch Hà Nội,CMD,Hà Nội
Cao Đẳng Thủy Lợi Bắc Bộ,CTL,Hà Nam
Cao Đẳng Truyền Hình,CDT0131,Hà Nội
Cao Đẳng Văn Hóa Nghệ Thuật Thái Bình,CNB,Thái Bình
Cao Đẳng Văn Hóa Nghệ Thuật Du Lịch Yên Bái,CVY,Yên Bái
Cao Đẳng Xây Dựng Công Trình Đô Thị,CDT,Hà Nội
Cao Đẳng Xây Dựng Nam Định,CXN,Nam Định
Cao Đẳng Xây Dựng Số 1,CXH,Hà Nội
Cao Đẳng Công Nghiệp Huế,CCH,Huế
Cao Đẳng Giao Thông Vận Tải II,CGD,Đà Nẵng
Cao Đẳng Giao Thông Vận Tải Miền Trung,CGN,Nghệ An
Cao Đẳng Tài Nguyên và Môi Trường Miền Trung,CMM,Thanh Hóa
Cao Đẳng Kỹ Thuật Công Nghiệp Quảng Ngãi,CCQ,Quảng Ngãi
"Cao đẳng Văn Hóa,Thể Thao Và Du Lịch Nguyễn Du",CVH,Hà Tĩnh
Cao Đẳng Văn Hóa Nghệ Thuật Nghệ An,CVV,Nghệ An
Cao Đẳng Y Tế Bình Thuận,CYX,Bình Thuận
Cao Đẳng Công Nghệ Kinh Tế Và Thủy Lợi Miền Trung,CEM,Quảng Nam
Cao Đẳng Điện Lực Miền Trung,CLD,Quảng Nam
Cao Đẳng Kinh Tế – Kế Hoạch Đà Nẵng,CKK,Đà Nẵng
Cao Đẳng Kỹ Thuật-Công Nghệ Vạn Xuân,CVX,TP HCM
Cao Đẳng Lương Thực Thực Phẩm,CLT,Đà Nẵng
Cao Đẳng Thương Mại,CMS,Đà Nẵng
Cao Đẳng Công Nghệ Và Kinh Tế Bảo Lộc,CBL,Lâm Đồng
Cao Đẳng Sư Phạm Kon Tum,C36,Kon Tum
Cao Đẳng Bách Khoa Đà Nẵng,CKB,Đà Nẵng
Cao Đẳng Công Nghệ Thủ Đức,CCO,TP HCM
Cao Đẳng Công Nghiệp Cao Su,CSC,Bình Phước
Cao Đẳng Công Thương TP HCM,CES,TP HCM
Cao Đẳng Điện Lực TP HCM,CDE,TP HCM
Cao Đẳng Giao Thông Vận Tải TP HCM,CGT,TP HCM
Cao Đẳng Kinh Tế-Công Nghệ TP HCM,CET,TP HCM
Cao Đẳng Kinh Tế Đối Ngoại,CKD,TP HCM
Cao Đẳng Kinh Tế Kỹ Thuật TP HCM,CPL,TP HCM
Cao Đẳng Kinh Tế Kỹ Thuật Vinatex TP HCM,CCS,TP HCM
Cao Đẳng Kinh Tế TP HCM,CEP,TP HCM
Cao Đẳng Kỹ Thuật Lý Tự Trọng TP HCM,CKP,TP HCM
Cao Đẳng Mỹ Thuật Trang Trí Đồng Nai,CDN,Đồng Nai
Cao Đẳng Phát Thanh Truyền Hình II,CPS,TP HCM
Cao Đẳng Văn Hóa Nghệ Thuật TP HCM,CVN,TP HCM
Cao Đẳng Cơ Điện Và Nông Nghiệp Nam Bộ,CEN,Cần Thơ
Cao Đẳng Cộng Đồng Kiên Giang,D54,Kiên Giang
Cao Đẳng Kinh Tế – Kỹ Thuật Cần Thơ,CEC,Cần Thơ
Cao Đẳng Nông Nghiệp Nam Bộ,CNN,Tiền Giang
Cao Đẳng Asean,CSA,Hưng Yên
Cao Đẳng Lạc Việt,CLV,Đà Nẵng
Cao Đẳng Bách Khoa Hưng Yên,CBK,Hưng Yên
Cao Đẳng Bách Việt,CBV,TP HCM
Cao Đẳng Bán Công Công Nghệ và Quản Trị Doanh Nghiệp,CBC,TP HCM
Cao Đẳng Công Nghệ Hà Nội,CNH,Hà Nội
Cao Đẳng Công Nghệ và Quản Trị Sonadezi,CDS,Đồng Nai
Cao Đẳng Đại Việt,CEO,Hà Nội
Cao Đẳng Hoan Châu,CNA,Nghệ An
Cao Đẳng Kinh Tế – Kỹ Thuật Hà Nội,CKN,Hà Nội
Cao Đẳng Kinh Tế Kỹ Thuật Miền Nam,CKM,TP HCM
Cao Đẳng Ngoại Ngữ – Công Nghệ Việt Nhật,CNC,Bắc Ninh
Cao Đẳng Phương Đông – Đà Nẵng,CPN,Đà Nẵng
Cao Đẳng Phương Đông -Quảng Nam,CPD,Quảng Nam
Cao Đẳng Tư Thục Đức Trí,CDA,Đà Nẵng
Cao Đẳng An Ninh Nhân Dân 2,AD2,Hà Nội
Cao Đẳng Dược Phú Thọ,CDU,Phú Thọ
Cao Đẳng Công Nghệ và Kinh Doanh Việt Tiến,CCZ,Đà Nẵng
Cao Đẳng Sư Phạm Hưng Yên,C22,Hưng Yên
Cao Đẳng Sư Phạm Lào Cai,C08,Lào Cai
Cao Đẳng Công Nghệ Thông Tin Hữu Nghị Việt Hàn,CHV,Đà Nẵng
Trường Sĩ Quan Không Quân - Hệ Cao đẳng,KGC,Khánh Hòa
Cao Đẳng Hải Dương,C21,Hải Dương
Cao Đẳng Sư Phạm Quảng Ninh,C17,Quảng Ninh
Cao Đẳng Sư Phạm Hà Nam,C24,Hà Nam
Cao Đẳng Sư Phạm Tuyên Quang,C09,Tuyên Quang
Cao Đẳng Kinh Tế Kỹ Thuật Lâm Đồng,CKZ,Lâm Đồng
Cao Đẳng Giao Thông Vận Tải 3,CGS,TP HCM
Cao Đẳng Văn Hóa Nghệ Thuật và Du Lịch Nha Trang,CDK,Khánh Hòa
Cao Đẳng Sư Phạm Ninh Thuận,C45,Ninh Thuận
Cao Đẳng Sư Phạm Sóc Trăng,C59,Sóc Trăng
Cao Đẳng Sư Phạm Cà Mau,C61,Cà Mau
