Mã ngành,Tên ngành học,Hiệu lực,Ghi chú
7220112,Văn hóa các dân tộc thiểu số Việt Nam,,
72202,"Nhóm ngành về Ngôn ngữ, văn học và văn hóa nước ngoài"
7220201,Ngôn ngữ Anh,,
7220202,Ngôn ngữ Nga,,
7220203,Ngôn ngữ Pháp,,
7220204,Ngôn ngữ Trung Quốc,,
7220205,Ngôn ngữ Đức,,
7220206,Ngôn ngữ Tây Ban Nha,,
7220207,Ngôn ngữ Bồ Đào Nha,,
7220208,Ngôn ngữ Italia,,
7220209,Ngôn ngữ Nhật,,
7220210,Ngôn ngữ Hàn Quốc,,
7220211,Ngôn ngữ Ảrập,,
72290,"Khác về Ngôn ngữ, văn học và văn hóa nước ngoài"
7229001,Triết học,,
7229008,Chủ nghĩa xã hội khoa học,Có hiệu lực áp dụng từ ngày 22/7/2022,Sửa mã ngành (mã cũ là 729008)
7229009,Tôn giáo học,,
7229010,Lịch sử,,
7229020,Ngôn ngữ học,,
7229030,Văn học,,
7229040,Văn hóa học,,
7229042,Quản lý văn hóa,,
7229045,Gia đình học,,
731,Khoa học xã hội và hành vi
73101,Nhóm ngành học về Kinh tế học
7310101,Kinh tế,,
7310102,Kinh tế chính trị,,
7310104,Kinh tế đầu tư,,
7310105,Kinh tế phát triển,,
7310106,Kinh tế quốc tế,,
7310107,Thống kê kinh tế,,
7310108,Toán kinh tế,,
7310109,Kinh tế số,Có hiệu lực áp dụng từ ngày 22/7/2022,Bổ sung ngành mới
73102,Nhóm ngành về Khoa học chính trị
7310201,Chính trị học,,
7310202,Xây dựng Đảng và chính quyền nhà nước,,
7310205,Quản lý nhà nước,,
7310206,Quan hệ quốc tế,,
73103,Nhóm ngành về Xã hội học và Nhân học
7310301,Xã hội học,,
7310302,Nhân học,,
73104,Nhóm ngành về Tâm lý học
7310401,Tâm lý học,,
7310403,Tâm lý học giáo dục,,
73105,Nhóm ngành về Địa lý học
7310501,Địa lý học,,
73106,Nhóm ngành vềKhu vực học
7310601,Quốc tế học,,
7310602,Châu Á học,,
7310607,Thái Bình Dương học,,
7310608,Đông phương học,,
7310612,Trung Quốc học,,
7310613,Nhật Bản học,,
7310614,Hàn Quốc học,,
7310620,Đông Nam Á học,,
7310630,Việt Nam học,,
73190,Khác
732,Báo chí và thông tin
73201,Nhóm ngành về Báo chí và truyền thông
7320101,Báo chí,,
7320104,Truyền thông đa phương tiện,,
7320105,Truyền thông đại chúng,,
7320106,Công nghệ truyền thông,,
7320107,Truyền thông quốc tế,,
7320108,Quan hệ công chúng,,
73202,Nhóm ngành về Thông tin – Thư viện
7320201,Thông tin – Thư viện,,
7320205,Quản lý thông tin,,
73203,Nhóm ngành về Văn thư – Lưu trữ – Bảo tàng
7320303,Lưu trữ học,,
7320305,Bảo tàng học,,
73204,Nhóm ngành về Xuất bản – Phát hành
7320401,Xuất bản,,
7320402,Kinh doanh xuất bản phẩm,,
73290,Khác
734,Kinh doanh và quản lý
73401,Nhóm ngành về Kinh doanh
7340101,Quản trị kinh doanh,,
7340115,Marketing,,
7340116,Bất động sản,,
7340120,Kinh doanh quốc tế,,
7340121,Kinh doanh thương mại,,
7340122,Thương mại điện tử,,
7340123,Kinh doanh thời trang và dệt may,,
73402,Nhóm ngành về Tài chính – Ngân hàng – Bảo hiểm
7340201,Tài chính – Ngân hàng,,
7340204,Bảo hiểm,,
7340205,Công nghệ tài chính,Có hiệu lực áp dụng từ ngày 22/7/2022,Bổ sung ngành mới
73403,Nhóm ngành về Kế toán – Kiểm toán
7340301,Kế toán,,
7340302,Kiểm toán,,
73404,Nhóm ngành về Quản trị – Quản lý
7340401,Khoa học quản lý,,
7340403,Quản lý công,,
7340404,Quản trị nhân lực,,
7340405,Hệ thống thông tin quản lý,,
7340406,Quản trị văn phòng,,
7340408,Quan hệ lao động,,
7340409,Quản lý dự án,,
73490,Khác
738,Pháp luật
73801,Nhóm ngành về Luật
7380101,Luật,,
7380102,Luật hiến pháp và luật hành chính,,
7380103,Luật dân sự và tố tụng dân sự,,
7380104,Luật hình sự và tố tụng hình sự,,
7380107,Luật kinh tế,,
7380108,Luật quốc tế,,
73890,Khác
742,Khoa học sự sống
74201,Nhóm ngành về Sinh học
7420101,Sinh học,,
74202,Nhóm ngành về Sinh học ứng dụng
7420201,Công nghệ sinh học,,
7420202,Kỹ thuật sinh học,,
7420203,Sinh học ứng dụng,,
74290,Khác
744,Khoa học tự nhiên
74401,Nhóm ngành về Khoa học vật chất
7440101,Thiên văn học,,
7440102,Vật lý học,,
7440106,Vật lý nguyên tử và hạt nhân,,
7440110,Cơ học,,
7440112,Hóa học,,
7440122,Khoa học vật liệu,,
74402,Nhóm ngành về Khoa học trái đất
7440201,Địa chất học,,
7440212,Bản đồ học,,
7440217,Địa lý tự nhiên,,
7440222,Khí tượng và khí hậu học,Có hiệu lực áp dụng từ ngày 22/7/2022,Sửa mã ngành (mã cũ là 7440221)
7440224,Thủy văn học,,
7440228,Hải dương học,,
74403,Nhóm ngành về Khoa học môi trường
7440301,Khoa học môi trường,,
74490,Khác
746,Toán và thống kê
74601,Nhóm ngành về Toán học
7460101,Toán học,,
7460107,Khoa học tính toán,,
7460108,Khoa học dữ liệu,Có hiệu lực áp dụng từ ngày 22/7/2022,Bổ sung ngành mới
7460112,Toán ứng dụng,,
7460115,Toán cơ,,
7460117,Toán tin,,
74602,Nhóm ngành về Thống kê
7460201,Thống kê,,
74690,Khác
748,Máy tính và công nghệ thông tin
74801,Nhóm ngành về Máy tính
7480101,Khoa học máy tính,,
7480102,Mạng máy tính và truyền thông dữ liệu,,
7480103,Kỹ thuật phần mềm,,
7480104,Hệ thống thông tin,,
7480106,Kỹ thuật máy tính,,
7480107,Trí tuệ nhân tạo,Có hiệu lực áp dụng từ ngày 22/7/2022,Bổ sung ngành mới
7480108,Công nghệ kỹ thuật máy tính,,
74802,Nhóm ngành về Công nghệ thông tin
7480201,Công nghệ thông tin,,
7480202,An toàn thông tin,,
74890,Khác
751,Công nghệ kỹ thuật
75101,Nhóm ngành về Công nghệ kỹ thuật kiến trúc và công trình xây dựng
7510101,Công nghệ kỹ thuật kiến trúc,,
7510102,Công nghệ kỹ thuật công trình xây dựng,,
7510103,Công nghệ kỹ thuật xây dựng,,
7510104,Công nghệ kỹ thuật giao thông,,
7510105,Công nghệ kỹ thuật vật liệu xây dựng,,
75102,Nhóm ngành học về Công nghệ kỹ thuật cơ khí
7510201,Công nghệ kỹ thuật cơ khí,,
7510202,Công nghệ chế tạo máy,,
7510203,Công nghệ kỹ thuật cơ điện tử,,
7510205,Công nghệ kỹ thuật ô tô,,
7510206,Công nghệ kỹ thuật nhiệt,,
7510207,Công nghệ kỹ thuật tàu thủy,,
7510211,Bảo dưỡng công nghiệp,,
75103,"Nhóm ngành về Công nghệ kỹ thuật điện, điện tử và viễn thông"
7510301,"Công nghệ kỹ thuật điện, điện tử",,
7510302,Công nghệ kỹ thuật điện tử – viễn thông,,
7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,,
75104,"Nhóm ngành về Công nghệ hóa học, vật liệu, luyện kim và môi trường"
7510401,Công nghệ kỹ thuật hóa học,,
7510402,Công nghệ vật liệu,,
7510406,Công nghệ kỹ thuật môi trường,,
7510407,Công nghệ kỹ thuật hạt nhân,,
75106,Nhóm ngành về Quản lý công nghiệp
7510601,Quản lý công nghiệp,,
7510604,Kinh tế công nghiệp,,
7510605,Logistics và Quản lý chuỗi cung ứng,,
75107,Nhóm ngành về Công nghệ dầu khí và khai thác
7510701,Công nghệ dầu khí và khai thác dầu,,
75108,Nhóm ngành về Công nghệ kỹ thuật in
7510801,Công nghệ kỹ thuật in,,
75190,Khác
752,Kỹ thuật
75201,Nhóm ngành về Kỹ thuật cơ khí và cơ kỹ thuật
7520101,Cơ kỹ thuật,,
7520103,Kỹ thuật cơ khí,,
7520114,Kỹ thuật cơ điện tử,,
7520115,Kỹ thuật nhiệt,,
7520116,Kỹ thuật cơ khí động lực,,
7520117,Kỹ thuật công nghiệp,,
7520118,Kỹ thuật hệ thống công nghiệp,,
7520120,Kỹ thuật hàng không,,
7520121,Kỹ thuật không gian,,
7520122,Kỹ thuật tàu thủy,,
7520130,Kỹ thuật ô tô,,
7520137,Kỹ thuật in,,
7520138,Kỹ thuật hàng hải,Có hiệu lực áp dụng từ ngày 22/7/2022,Bổ sung ngành mới
75202,"Nhóm ngành về Kỹ thuật điện, điện tử và viễn thông"
7520201,Kỹ thuật điện,,
7520204,Kỹ thuật rađa – dẫn đường,,
7520205,Kỹ thuật thủy âm,,
7520206,Kỹ thuật biển,,
7520207,Kỹ thuật điện tử – viễn thông,,
7520212,Kỹ thuật y sinh,,
7520216,Kỹ thuật điều khiển và tự động hóa,,
75203,"Nhóm ngành về Kỹ thuật hóa học, vật liệu, luyện kim và môi trường"
7520301,Kỹ thuật hóa học,,
7520309,Kỹ thuật vật liệu,,
7520310,Kỹ thuật vật liệu kim loại,,
7520312,Kỹ thuật dệt,,
7520320,Kỹ thuật môi trường,,
75204,Nhóm ngành về Vật lý kỹ thuật
7520401,Vật lý kỹ thuật,,
7520402,Kỹ thuật hạt nhân,,
75205,"Nhóm ngành về Kỹ thuật địa chất, địa vật lý và trắc địa"
7520501,Kỹ thuật địa chất,,
7520502,Kỹ thuật địa vật lý,,
7520503,Kỹ thuật trắc địa – bản đồ,,
75206,Nhóm ngành về Kỹ thuật mỏ
7520601,Kỹ thuật mỏ,,
7520602,Kỹ thuật thăm dò và khảo sát,,
7520604,Kỹ thuật dầu khí,,
7520607,Kỹ thuật tuyển khoáng,,
75290,Khác
754,Sản xuất và chế biến
75401,"Chế biến lương thực, thực phẩm và đồ uống"
7540101,Công nghệ thực phẩm,,
7540102,Kỹ thuật thực phẩm,,
7540104,Công nghệ sau thu hoạch,,
7540105,Công nghệ chế biến thủy sản,,
7540106,Đảm bảo chất lượng và an toàn thực phẩm,,
75402,"Nhóm ngành về Sản xuất, chế biến sợi, vải, giày, da"
7540202,"Công nghệ sợi, dệt",,
7540203,"Công nghệ vật liệu dệt, may",,
7540204,"Công nghệ dệt, may",,
7540206,Công nghệ da giày,,
75490,Khác
7549001,Công nghệ chế biến lâm sản,,
758,Kiến trúc và xây dựng
75801,Nhóm ngành về Kiến trúc và quy hoạch
7580101,Kiến trúc,,
7580102,Kiến trúc cảnh quan,,
7580103,Kiến trúc nội thất,,
7580104,Kiến trúc đô thị,,
7580105,Quy hoạch vùng và đô thị,,
7580106,Quản lý đô thị và công trình,,
7580108,Thiết kế nội thất,,
7580111,Bảo tồn di sản kiến trúc – Đô thị,,
7580112,Đô thị học,,
75802,Nhóm ngành học về Xây dựng
7580201,Kỹ thuật xây dựng,,
7580202,Kỹ thuật xây dựng công trình thủy,,
7580203,Kỹ thuật xây dựng công trình biển,,
7580205,Kỹ thuật xây dựng công trình giao thông,,
7580210,Kỹ thuật cơ sở hạ tầng,,
7580211,Địa kỹ thuật xây dựng,,
7580212,Kỹ thuật tài nguyên nước,,
7580213,Kỹ thuật cấp thoát nước,,
75803,Nhóm ngành về Quản lý xây dựng
7580301,Kinh tế xây dựng,,
7580302,Quản lý xây dựng,,
75890,Khác
762,"Nông, lâm nghiệp và thủy sản"
76201,Nhóm ngành về Nông nghiệp
7620101,Nông nghiệp,,
7620102,Khuyến nông,,
7620103,Khoa học đất,,
7620105,Chăn nuôi,,
7620109,Nông học,,
7620110,Khoa học cây trồng,,
7620112,Bảo vệ thực vật,,
7620113,Công nghệ rau hoa quả và cảnh quan,,
7620114,Kinh doanh nông nghiệp,,
7620115,Kinh tế nông nghiệp,,
7620116,Phát triển nông thôn,,
76202,Nhóm ngành về Lâm nghiệp
7620201,Lâm học,,
7620202,Lâm nghiệp đô thị,,
7620205,Lâm sinh,,
7620211,Quản lý tài nguyên rừng,,
76203,Nhóm ngành về Thủy sản
7620301,Nuôi trồng thủy sản,,
7620302,Bệnh học thủy sản,,
7620303,Khoa học thủy sản,,
7620304,Khai thác thủy sản,,
7620305,Quản lý thủy sản,,
76290,Khác
764,Thú y
76401,Nhóm ngành về Thú y
7640101,Thú y,,
76490,Khác
772,Sức khỏe
77201,Nhóm ngành về Y học
7720101,Y khoa,,
7720110,Y học dự phòng,,
7720115,Y học cổ truyền,,
77202,Nhóm ngành về Dược học
7720201,Dược học,,
7720203,Hóa dược,,
77203,Nhóm ngành về Điều dưỡng – hộ sinh
7720301,Điều dưỡng,,
7720302,Hộ sinh,,
77204,Nhóm ngành về Dinh dưỡng
7720401,Dinh dưỡng,,
77205,Nhóm ngành về Răng – Hàm – Mặt (Nha khoa)
7720501,Răng – Hàm – Mặt,,
7720502,Kỹ thuật phục hình răng,,
77206,Nhóm ngành về Kỹ thuật Y học
7720601,Kỹ thuật xét nghiệm y học,,
7720602,Kỹ thuật hình ảnh y học,,
7720603,Kỹ thuật Phục hồi chức năng,,
77207,Nhóm ngành về Y tế công cộng
7720701,Y tế công cộng,,
77208,Nhóm ngành về Quản lý Y tế
7720801,Tổ chức và Quản lý y tế,,
7720802,Quản lý bệnh viện,,
77290,Khác,,
7729001,Y sinh học thể dục thể thao,,
776,Nhóm ngành về Dịch vụ xã hội
77601,Nhóm ngành về Công tác xã hội
7760101,Công tác xã hội,,
7760102,Công tác thanh thiếu niên,,
7760103,Hỗ trợ giáo dục người khuyết tật,Có hiệu lực áp dụng từ ngày 22/7/2022,Sửa mã ngành (mã cũ là 8760103)
77690,Khác
781,"Du lịch, khách sạn, thể thao và dịch vụ cá nhân"
78101,Nhóm ngành về Du lịch
7810101,Du lịch,,
7810103,Quản trị dịch vụ du lịch và lữ hành,,
78102,"Nhóm ngành về Khách sạn, nhà hàng"
7810201,Quản trị khách sạn,,
7810202,Quản trị nhà hàng và dịch vụ ăn uống,,
78103,"Nhóm ngành về Thể dục, thể thao"
7810301,Quản lý thể dục thể thao,,
7810302,Huấn luyện thể thao,Có hiệu lực áp dụng từ ngày 22/7/2022,Ngành chuyển đến từ nhóm ngành 71402 (mã cũ là 7140207)
78105,Nhóm ngành về Kinh tế gia đình
7810501,Kinh tế gia đình,,
78190,Khác
784,Dịch vụ vận tải
78401,Nhóm ngành về Khai thác vận tải
7840101,Khai thác vận tải,,
7840102,Quản lý hoạt động bay,,
7840104,Kinh tế vận tải,,
7840106,Khoa học hàng hải,,
78490,Khác
785,Môi trường và bảo vệ môi trường
78501,Nhóm ngành về Quản lý tài nguyên và môi trường
7850101,Quản lý tài nguyên và môi trường,,
7850102,Kinh tế tài nguyên thiên nhiên,,
7850103,Quản lý đất đai,,
78502,Nhóm ngành về Dịch vụ an toàn lao động và vệ sinh công nghiệp
7850201,Bảo hộ lao động,,
78590,Khác
786,"An ninh, Quốc phòng"
78601,Nhóm ngành về An ninh và trật tự xã hội
7860101,Trinh sát an ninh,,
7860102,Trinh sát cảnh sát,,
7860103,Trinh sát kỹ thuật,Có hiệu lực áp dụng từ ngày 22/7/2022,Bổ sung ngành mới
7860104,Điều tra hình sự,,
7860107,Kỹ thuật Công an nhân dân,Có hiệu lực áp dụng từ ngày 22/7/2022,Bổ sung ngành mới
7860108,Kỹ thuật hình sự,,
7860109,Quản lý nhà nước về an ninh trật tự,,
7860110,Quản lý trật tự an toàn giao thông,,
7860111,Thi hành án hình sự và hỗ trợ tư pháp,,
7860112,"Tham mưu, chỉ huy công an nhân dân",,
7860113,Phòng cháy chữa cháy và cứu nạn cứu hộ,,
7860116,Hậu cần công an nhân dân,,
7860117,Tình báo an ninh,,
78602,Nhóm ngành về Quân sự
7860201,Chỉ huy tham mưu Lục quân,,
7860202,Chỉ huy tham mưu Hải quân,,
7860203,Chỉ huy tham mưu Không quân,,
7860204,Chỉ huy tham mưu Phòng không,,
7860205,Chỉ huy tham mưu Pháo binh,,
7860206,Chỉ huy tham mưu Tăng – thiết giáp,,
7860207,Chỉ huy tham mưu Đặc công,,
7860214,Biên phòng,,
7860217,Tình báo quân sự,,
7860218,Hậu cần quân sự,,
7860219,"Chỉ huy, tham mưu thông tin",Có hiệu lực áp dụng từ ngày 22/7/2022,Sửa mã ngành (mã cũ là 7860220)
7860220,"Chỉ huy, quản lý kỹ thuật",,
7860222,Quân sự cơ sở,,
7860226,Chỉ huy kỹ thuật Phòng không,,
7860227,Chỉ huy kỹ thuật Tăng – thiết giáp,,
7860228,Chỉ huy kỹ thuật công binh,,
7860229,Chỉ huy kỹ thuật hóa học,,
7860231,Trinh sát kỹ thuật,,
7860232,Chỉ huy kỹ thuật hải quân,,
7860233,Chỉ huy kỹ thuật tác chiến điện tử,,
78690,Ngành khác liên quan về quân sự
790,Khác
